filename,path,label,x1,y1,x2,y2
0_0.png,dataset/waldo/0_0.png,1,117.0,183.0,144.0,214.0
0_1.png,dataset/waldo/0_1.png,1,168.0,4.0,220.0,56.0
0_10.png,dataset/waldo/0_10.png,1,88.0,50.0,105.0,84.0
0_11.png,dataset/waldo/0_11.png,1,17.0,32.0,68.0,83.0
0_12.png,dataset/waldo/0_12.png,1,59.0,93.0,92.0,158.0
0_13.png,dataset/waldo/0_13.png,1,134.0,114.0,166.0,151.0
0_14.png,dataset/waldo/0_14.png,1,125.0,132.0,174.0,181.0
0_15.png,dataset/waldo/0_15.png,1,72.0,111.0,92.0,151.0
0_16.png,dataset/waldo/0_16.png,1,20.0,187.0,32.0,218.0
0_17.png,dataset/waldo/0_17.png,1,29.0,60.0,67.0,138.0
0_18.png,dataset/waldo/0_18.png,1,102.0,140.0,138.0,177.0
0_19.png,dataset/waldo/0_19.png,1,20.0,72.0,67.0,120.0
0_2.png,dataset/waldo/0_2.png,1,113.0,11.0,146.0,79.0
0_20.png,dataset/waldo/0_20.png,1,46.0,116.0,121.0,205.0
0_21.png,dataset/waldo/0_21.png,1,92.0,56.0,159.0,123.0
0_22.png,dataset/waldo/0_22.png,1,16.0,48.0,46.0,78.0
0_23.png,dataset/waldo/0_23.png,1,85.0,137.0,110.0,166.0
0_24.png,dataset/waldo/0_24.png,1,75.0,68.0,177.0,155.0
0_25.png,dataset/waldo/0_25.png,1,122.0,32.0,177.0,88.0
0_26.png,dataset/waldo/0_26.png,1,119.0,76.0,152.0,110.0
0_27.png,dataset/waldo/0_27.png,1,47.0,154.0,104.0,221.0
0_28.png,dataset/waldo/0_28.png,1,55.0,123.0,100.0,212.0
0_29.png,dataset/waldo/0_29.png,1,120.0,67.0,164.0,112.0
0_3.png,dataset/waldo/0_3.png,1,140.0,86.0,184.0,138.0
0_30.png,dataset/waldo/0_30.png,1,12.0,63.0,38.0,93.0
0_31.png,dataset/waldo/0_31.png,1,41.0,4.0,97.0,60.0
0_32.png,dataset/waldo/0_32.png,1,67.0,92.0,143.0,168.0
0_33.png,dataset/waldo/0_33.png,1,29.0,53.0,125.0,149.0
0_34.png,dataset/waldo/0_34.png,1,120.0,93.0,203.0,176.0
0_35.png,dataset/waldo/0_35.png,1,76.0,35.0,179.0,87.0
0_36.png,dataset/waldo/0_36.png,1,59.0,101.0,104.0,146.0
0_37.png,dataset/waldo/0_37.png,1,20.0,36.0,61.0,116.0
0_38.png,dataset/waldo/0_38.png,1,59.0,118.0,80.0,172.0
0_39.png,dataset/waldo/0_39.png,1,28.0,74.0,71.0,184.0
0_4.png,dataset/waldo/0_4.png,1,17.0,63.0,60.0,148.0
0_40.png,dataset/waldo/0_40.png,1,98.0,91.0,116.0,138.0
0_41.png,dataset/waldo/0_41.png,1,46.0,94.0,88.0,136.0
0_42.png,dataset/waldo/0_42.png,1,162.0,84.0,216.0,138.0
0_43.png,dataset/waldo/0_43.png,1,53.0,163.0,99.0,202.0
0_44.png,dataset/waldo/0_44.png,1,48.0,157.0,87.0,196.0
0_45.png,dataset/waldo/0_45.png,1,103.0,173.0,136.0,212.0
0_46.png,dataset/waldo/0_46.png,1,131.0,140.0,180.0,189.0
0_47.png,dataset/waldo/0_47.png,1,85.0,136.0,107.0,193.0
0_48.png,dataset/waldo/0_48.png,1,179.0,28.0,208.0,102.0
0_49.png,dataset/waldo/0_49.png,1,55.0,113.0,117.0,176.0
0_5.png,dataset/waldo/0_5.png,1,43.0,70.0,77.0,157.0
0_50.png,dataset/waldo/0_50.png,1,176.0,49.0,221.0,95.0
0_51.png,dataset/waldo/0_51.png,1,167.0,47.0,207.0,87.0
0_52.png,dataset/waldo/0_52.png,1,58.0,40.0,120.0,102.0
0_53.png,dataset/waldo/0_53.png,1,108.0,44.0,145.0,139.0
0_54.png,dataset/waldo/0_54.png,1,108.0,129.0,144.0,166.0
0_55.png,dataset/waldo/0_55.png,1,90.0,165.0,110.0,205.0
0_56.png,dataset/waldo/0_56.png,1,95.0,16.0,135.0,56.0
0_57.png,dataset/waldo/0_57.png,1,9.0,141.0,36.0,196.0
0_58.png,dataset/waldo/0_58.png,1,112.0,101.0,153.0,142.0
0_59.png,dataset/waldo/0_59.png,1,43.0,55.0,74.0,118.0
